id;name;description;start_nr;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10
1;Kategorie;;1;1;0;0;0;0;0;0;0;0;0
2;RT1;Komat, 189m/20s;1;1;0;0;0;0;0;0;0;0;0
3;RT2;Štilec, 130m/12s;1;1;0;0;0;0;0;0;0;0;0
4;RT3;Výstaviště Super RT1;1;1;0;0;0;0;0;0;0;0;0
5;RT4;Pavilon, 97m/10s;1;1;0;0;0;0;0;0;0;0;0
6;RT5;Výstaviště Super RT2;1;1;0;0;0;0;0;0;0;0;0
7;RT6;Svatý Ján nad Malší, 346m/35s;1;1;0;0;0;0;0;0;0;0;0
8;RT7;Kaplice 1, 37m/16s;1;1;0;0;0;0;0;0;0;0;0
9;RT8;Kaplice 2, 37m/13s;1;1;0;0;0;0;0;0;0;0;0
10;RT9;Dolní Dvořiště, 345m/25s;1;1;0;0;0;0;0;0;0;0;0
11;RT10;Lipno, 3901m/5min 51s;1;1;0;0;0;0;0;0;0;0;0
12;RT11;Rožmberg, 220m/22s;1;1;0;0;0;0;0;0;0;0;0
13;RT12;Jelenka – Český Krumlov, 51m/7s;1;1;0;0;0;0;0;0;0;0;0
